"institution_short","course_code_norm","year","hv","url","status","ok","bytes","sha1","course_name_no","fulltext"
"uia","IDR421-1",2026,"V","https://www.uia.no/studier/emner/2026/var/idr421.html",200,TRUE,275,"f8edbe85383661427e758dde4f68afa328e4c0d3",NA,NA
"uia","IDR510-1",2026,"V","https://www.uia.no/studier/emner/2026/var/idr510.html",404,FALSE,NA,NA,NA,NA
"uia","IDR511-1",2026,"V","https://www.uia.no/studier/emner/2026/var/idr511.html",200,TRUE,275,"02217a5eed5eac0597888c1fee5fcfdfa1a07b8b",NA,NA
"uia","PRA2-401-1",2026,"V","https://www.uia.no/studier/emner/2026/var/pra2-401.html",404,FALSE,NA,NA,NA,NA
"uia","NO-413-1",2026,"V","https://www.uia.no/studier/emner/2026/var/no-413.html",404,FALSE,NA,NA,NA,NA
"uia","NO-414-1",2026,"V","https://www.uia.no/studier/emner/2026/var/no-414.html",404,FALSE,NA,NA,NA,NA
"uia","NO-415-1",2026,"V","https://www.uia.no/studier/emner/2026/var/no-415.html",200,TRUE,275,"0e4586161ba20e2f02e426378c0a710610225eb2",NA,NA
"uia","IDR422-1",2026,"V","https://www.uia.no/studier/emner/2026/var/idr422.html",200,TRUE,275,"ff64857cb892eae261848d3d37b82e39d608ec19",NA,NA
"uia","MA-423-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ma-423.html",200,TRUE,275,"860c0200ed5a023c00eff42dfe02a8d4c7e48e42",NA,NA
"uia","REL421-1",2026,"V","https://www.uia.no/studier/emner/2026/var/rel421.html",404,FALSE,NA,NA,NA,NA
"uia","MA-445-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ma-445.html",404,FALSE,NA,NA,NA,NA
"uia","EN-504-1",2026,"V","https://www.uia.no/studier/emner/2026/var/en-504.html",404,FALSE,NA,NA,NA,NA
"uia","MA-446-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ma-446.html",200,TRUE,275,"b99a78665acb5bc53ddebfdf366563e7f1061735",NA,NA
"uia","MA-505-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ma-505.html",404,FALSE,NA,NA,NA,NA
"uia","REL502-1",2026,"V","https://www.uia.no/studier/emner/2026/var/rel502.html",404,FALSE,NA,NA,NA,NA
"uia","MA-506-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ma-506.html",200,TRUE,275,"0dbb6b52ebb666cae0c86b196431c0b82d9da434",NA,NA
"uia","REL503-1",2026,"V","https://www.uia.no/studier/emner/2026/var/rel503.html",404,FALSE,NA,NA,NA,NA
"uia","MA-440-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ma-440.html",404,FALSE,NA,NA,NA,NA
"uia","KH-404-1",2026,"V","https://www.uia.no/studier/emner/2026/var/kh-404.html",404,FALSE,NA,NA,NA,NA
"uia","KH-405-1",2026,"V","https://www.uia.no/studier/emner/2026/var/kh-405.html",200,TRUE,275,"2bbe0e20189764c2d3b0cbfeac6ad6a867fead33",NA,NA
"uia","REL410-1",2026,"V","https://www.uia.no/studier/emner/2026/var/rel410.html",404,FALSE,NA,NA,NA,NA
"uia","IDR508-1",2026,"V","https://www.uia.no/studier/emner/2026/var/idr508.html",404,FALSE,NA,NA,NA,NA
"uia","NO-409-1",2026,"V","https://www.uia.no/studier/emner/2026/var/no-409.html",404,FALSE,NA,NA,NA,NA
"uia","IDR509-1",2026,"V","https://www.uia.no/studier/emner/2026/var/idr509.html",200,TRUE,275,"39bd9e5c100bf7889d05c4cd4c67ccd1844433c5",NA,NA
"uia","NO-410-1",2026,"V","https://www.uia.no/studier/emner/2026/var/no-410.html",404,FALSE,NA,NA,NA,NA
"uia","NO-411-1",2026,"V","https://www.uia.no/studier/emner/2026/var/no-411.html",200,TRUE,275,"edbfb36c256cf8ad27deae7b76a11d07d1985a9c",NA,NA
"uia","IDR512-1",2026,"V","https://www.uia.no/studier/emner/2026/var/idr512.html",404,FALSE,NA,NA,NA,NA
"uia","IDR513-1",2026,"V","https://www.uia.no/studier/emner/2026/var/idr513.html",404,FALSE,NA,NA,NA,NA
"uia","NO-420-1",2026,"V","https://www.uia.no/studier/emner/2026/var/no-420.html",404,FALSE,NA,NA,NA,NA
"uia","NO-503-1",2026,"V","https://www.uia.no/studier/emner/2026/var/no-503.html",200,TRUE,275,"d17600c7d8e9ffbd67ac6a3859a658aeb88a5aa9",NA,NA
